"","Gene","Ensembl","Gene.description","Uniprot","Secretome.location"
"2510","IGHV3-35","ENSG00000211957","Immunoglobulin heavy variable 3-35 (non-functional)","A0A0C4DH35","Immunoglobulin genes"
"2511","IGHV3-38","ENSG00000211958","Immunoglobulin heavy variable 3-38 (non-functional)","A0A0C4DH36","Immunoglobulin genes"
"2512","IGHV4-39","ENSG00000211959","Immunoglobulin heavy variable 4-39","P01824","Immunoglobulin genes"
"2513","IGHV1-45","ENSG00000211961","Immunoglobulin heavy variable 1-45","A0A0A0MS14","Immunoglobulin genes"
"2514","IGHV1-46","ENSG00000211962","Immunoglobulin heavy variable 1-46","P01743","Immunoglobulin genes"
"2515","IGHV3-48","ENSG00000211964","Immunoglobulin heavy variable 3-48","P01763","Immunoglobulin genes"
"2516","IGHV3-49","ENSG00000211965","Immunoglobulin heavy variable 3-49","A0A0A0MS15","Immunoglobulin genes"
"2517","IGHV5-51","ENSG00000211966","Immunoglobulin heavy variable 5-51","A0A0C4DH38","Immunoglobulin genes"
"2518","IGHV3-53","ENSG00000211967","Immunoglobulin heavy variable 3-53","P01767","Immunoglobulin genes"
"2519","IGHV1-58","ENSG00000211968","Immunoglobulin heavy variable 1-58","A0A0C4DH39","Immunoglobulin genes"
"2520","IGHV4-61","ENSG00000211970","Immunoglobulin heavy variable 4-61","A0A0C4DH41","Immunoglobulin genes"
"2521","IGHV3-66","ENSG00000211972","Immunoglobulin heavy variable 3-66","A0A0C4DH42","Immunoglobulin genes"
"2522","IGHV1-69","ENSG00000211973","Immunoglobulin heavy variable 1-69","P01742","Immunoglobulin genes"
"2523","IGHV2-70D","ENSG00000211974","Immunoglobulin heavy variable 2-70D","A0A0C4DH43","Immunoglobulin genes"
"2524","IGHV3-73","ENSG00000211976","Immunoglobulin heavy variable 3-73","A0A0B4J1V6","Immunoglobulin genes"
"2525","IGHV7-81","ENSG00000211979","Immunoglobulin heavy variable 7-81 (non-functional)","A0A0B4J1V7","Immunoglobulin genes"
"2526","KLK9","ENSG00000213022","Kallikrein related peptidase 9","Q9UKQ9","Secreted in other tissues"
"2527","CGB8","ENSG00000213030","Chorionic gonadotropin subunit beta 8","P0DN86","Secreted to blood"
"2528","FAM24B","ENSG00000213185","Family with sequence similarity 24 member B","Q8N5W8","Intracellular and membrane"
"2529","CSH2","ENSG00000213218","Chorionic somatomammotropin hormone 2","P0DML3","Secreted to blood"
"2530","LCAT","ENSG00000213398","Lecithin-cholesterol acyltransferase","P04180","Secreted to blood"
"2531","PTPRCAP","ENSG00000213402","Protein tyrosine phosphatase receptor type C associated protein","Q14761","Intracellular and membrane"
"2532","GPC2","ENSG00000213420","Glypican 2","Q8N158","Intracellular and membrane"
"2533","TMX2","ENSG00000213593","Thioredoxin related transmembrane protein 2","Q9Y320","Intracellular and membrane"
"2534","HEXA","ENSG00000213614","Hexosaminidase subunit alpha","P06865","Intracellular and membrane"
"2535","LAT","ENSG00000213658","Linker for activation of T cells","O43561","Intracellular and membrane"
"2536","CEACAM16","ENSG00000213892","CEA cell adhesion molecule 16, tectorial membrane component","Q2WEN9","Secreted in other tissues"
"2537","DNASE1","ENSG00000213918","Deoxyribonuclease 1","P24855","Secreted to digestive system"
"2538","CCL27","ENSG00000213927","C-C motif chemokine ligand 27","Q9Y4X3","Secreted to blood"
"2539","IFNA7","ENSG00000214042","Interferon alpha 7","P01567","Secreted to blood"
"2540","SMIM7","ENSG00000214046","Small integral membrane protein 7","Q9BQ49","Intracellular and membrane"
"2541","PRCD","ENSG00000214140","Photoreceptor disc component","Q00LT1","Intracellular and membrane"
"2542","C17orf67","ENSG00000214226","Chromosome 17 open reading frame 67","Q0P5P2","Secreted to blood"
"2543","ANG","ENSG00000214274","Angiogenin","P03950","Secreted to blood"
"2544","NPS","ENSG00000214285","Neuropeptide S","P0C0P6","Secreted in brain"
"2545","SPINK13","ENSG00000214510","Serine peptidase inhibitor Kazal type 13","Q1W4C9","Secreted in male reproductive system"
"2546","DEFB113","ENSG00000214642","Defensin beta 113","Q30KQ7","Secreted in male reproductive system"
"2547","COL28A1","ENSG00000215018","Collagen type XXVIII alpha 1 chain","Q2UY09","Secreted to extracellular matrix"
"2548","MUC5AC","ENSG00000215182","Mucin 5AC, oligomeric mucus/gel-forming","P98088","Secreted to digestive system"
"2549","MSMP","ENSG00000215183","Microseminoprotein, prostate associated","Q1L6U9","Secreted in other tissues"
"2550","DEFB116","ENSG00000215545","Defensin beta 116","Q30KQ4","Secreted in male reproductive system"
"2551","DEFB115","ENSG00000215547","Defensin beta 115","Q30KQ5","Secreted in male reproductive system"
"2552","CELA2B","ENSG00000215704","Chymotrypsin like elastase 2B","P08218","Secreted to digestive system"
"2553","TNFRSF25","ENSG00000215788","TNF receptor superfamily member 25","Q93038","Secreted - unknown location"
"2554","RPTN","ENSG00000215853","Repetin","Q6XPR3","Secreted to extracellular matrix"
"2555","IFI30","ENSG00000216490","IFI30 lysosomal thiol reductase","P13284","Intracellular and membrane"
"2556","CKLF","ENSG00000217555","Chemokine like factor","Q9UBR5","Secreted to blood"
"2557","CELA3B","ENSG00000219073","Chymotrypsin like elastase 3B","P08861","Secreted to digestive system"
"2558","TAFA5","ENSG00000219438","TAFA chemokine like family member 5","Q7Z5A7","Secreted in brain"
"2559","PSG3","ENSG00000221826","Pregnancy specific beta-1-glycoprotein 3","Q16557","Secreted in female reproductive system"
"2560","PLXNA4","ENSG00000221866","Plexin A4","Q9HCM2","Intracellular and membrane"
"2561","PSG7","ENSG00000221878","Pregnancy specific beta-1-glycoprotein 7","Q13046","Secreted in female reproductive system"
"2562","HMSD","ENSG00000221887","Histocompatibility minor serpin domain containing","A8MTL9, P0C7T4","Secreted to blood"
"2563","NPTXR","ENSG00000221890","Neuronal pentraxin receptor","O95502","Intracellular and membrane"
"2564","KIR2DS4","ENSG00000221957","Killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4","","Secreted to blood"
"2565","CCNL2","ENSG00000221978","Cyclin L2","Q96S94","Intracellular and membrane"
"2566","PPT2","ENSG00000221988","Palmitoyl-protein thioesterase 2","Q9UMR5","Intracellular and membrane"
"2567","IGLV9-49","ENSG00000223350","Immunoglobulin lambda variable 9-49","A0A0B4J1Y8","Immunoglobulin genes"
"2568","CKMT1A","ENSG00000223572","Creatine kinase, mitochondrial 1A","P12532","Intracellular and membrane"
"2569","IGHV3-64","ENSG00000223648","Immunoglobulin heavy variable 3-64","A0A075B6Q5","Immunoglobulin genes"
"2570","C1QTNF5","ENSG00000223953","C1q and TNF related 5","Q9BXJ0","Secreted to blood"
"2571","IGKV3D-15","ENSG00000224041","Immunoglobulin kappa variable 3D-15","A0A087WSY6","Immunoglobulin genes"
"2572","IGHV4-59","ENSG00000224373","Immunoglobulin heavy variable 4-59","P01825","Immunoglobulin genes"
"2573","C4B","ENSG00000224389","Complement C4B (Chido blood group)","P0C0L5","Secreted to blood"
"2574","ADM5","ENSG00000224420","Adrenomedullin 5 (putative)","C9JUS6","Secreted to blood"
"2575","GPX5","ENSG00000224586","Glutathione peroxidase 5","O75715","Secreted in male reproductive system"
"2576","IGHV3-74","ENSG00000224650","Immunoglobulin heavy variable 3-74","A0A0B4J1X5","Immunoglobulin genes"
"2577","PRRT4","ENSG00000224940","Proline rich transmembrane protein 4","C9JH25","Intracellular and membrane"
"2578","IGKV6D-21","ENSG00000225523","Immunoglobulin kappa variable 6D-21 (non-functional)","A0A0A0MT36","Immunoglobulin genes"
"2579","IGHV3-72","ENSG00000225698","Immunoglobulin heavy variable 3-72","A0A0B4J1Y9","Immunoglobulin genes"
"2580","DEFB131B","ENSG00000225805","Defensin beta 131B","A0A096LNP1","Secreted in male reproductive system"
"2581","NTF4","ENSG00000225950","Neurotrophin 4","P34130","Secreted in other tissues"
"2582","FTCDNL1","ENSG00000226124","Formiminotransferase cyclodeaminase N-terminal like","E5RQL4","Secreted in other tissues"
"2583","ERVMER34-1","ENSG00000226887","Endogenous retrovirus group MER34 member 1, envelope","Q9H9K5","Secreted to blood"
"2584","LTA","ENSG00000226979","Lymphotoxin alpha","P01374","Secreted to blood"
"2585","IFNA14","ENSG00000228083","Interferon alpha 14","P01570","Secreted to blood"
"2586","ORM2","ENSG00000228278","Orosomucoid 2","P19652","Secreted to blood"
"2587","IGKV3D-7","ENSG00000228325","Immunoglobulin kappa variable 3D-7","A0A0C4DH55","Immunoglobulin genes"
"2588","PGA4","ENSG00000229183","Pepsinogen A4","P0DJD7","Secreted to digestive system"
"2589","ORM1","ENSG00000229314","Orosomucoid 1","P02763","Secreted to blood"
"2590","SPINK8","ENSG00000229453","Serine peptidase inhibitor Kazal type 8 (putative)","P0C7L1","Secreted to blood"
"2591","PRAC2","ENSG00000229637","PRAC2 small nuclear protein","D3DTV9","Intracellular and membrane"
"2592","PGA3","ENSG00000229859","Pepsinogen A3","P0DJD8","Secreted to digestive system"
"2593","PRB4","ENSG00000230657","Proline rich protein BstNI subfamily 4","","Secreted to digestive system"
"2594","IGHV4-31","ENSG00000231475","Immunoglobulin heavy variable 4-31","A0A087WSY4","Immunoglobulin genes"
"2595","PSG1","ENSG00000231924","Pregnancy specific beta-1-glycoprotein 1","P11464","Secreted in female reproductive system"
"2596","IGHV3-43","ENSG00000232216","Immunoglobulin heavy variable 3-43","A0A0B4J1X8","Immunoglobulin genes"
"2597","TNF","ENSG00000232810","Tumor necrosis factor","P01375","Secreted to blood"
"2598","PET117","ENSG00000232838","PET117 cytochrome c oxidase chaperone","Q6UWS5","Intracellular and membrane"
"2599","DEFB130A","ENSG00000232948","Defensin beta 130A","P0DP74","Secreted in male reproductive system"
"2600","DEFB130B","ENSG00000233050","Defensin beta 130B","P0DP73","Secreted in male reproductive system"
"2601","ERVH48-1","ENSG00000233056","Endogenous retrovirus group 48 member 1","M5A8F1","Secreted in female reproductive system"
"2602","NPIPB7","ENSG00000233232","Nuclear pore complex interacting protein family member B7","O75200","Secreted in male reproductive system"
"2603","IFNA13","ENSG00000233816","Interferon alpha 13","P01562","Secreted to blood"
"2604","PINLYP","ENSG00000234465","Phospholipase A2 inhibitor and LY6/PLAUR domain containing","A6NC86","Secreted to blood"
"2605","IFNA17","ENSG00000234829","Interferon alpha 17","P01571","Secreted to blood"
"2606","APOC2","ENSG00000234906","Apolipoprotein C2","P02655","Secreted to blood"
"2607","PATE3","ENSG00000236027","Prostate and testis expressed 3","B3GLJ2","Secreted in male reproductive system"
"2608","IGHD1-1","ENSG00000236170","Immunoglobulin heavy diversity 1-1","P0DOY5","Immunoglobulin genes"
"2609","IFNA4","ENSG00000236637","Interferon alpha 4","P05014","Secreted to blood"
"2610","B3GNT9","ENSG00000237172","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9","Q6UX72","Intracellular and membrane"
"2611","CKMT1B","ENSG00000237289","Creatine kinase, mitochondrial 1B","P12532","Intracellular and membrane"
"2612","PATE4","ENSG00000237353","Prostate and testis expressed 4","P0C8F1","Secreted in male reproductive system"
"2613","AMY1A","ENSG00000237763","Amylase alpha 1A","P0DUB6","Secreted to digestive system"
"2614","TXNDC5","ENSG00000239264","Thioredoxin domain containing 5","Q8NBS9","Intracellular and membrane"
"2615","IGKV2D-30","ENSG00000239571","Immunoglobulin kappa variable 2D-30","A0A075B6S6","Immunoglobulin genes"
"2616","NME1","ENSG00000239672","NME/NM23 nucleoside diphosphate kinase 1","P15531","Intracellular and membrane"
"2617","TNFSF12","ENSG00000239697","TNF superfamily member 12","O43508","Secreted to blood"
"2618","IGKV1D-8","ENSG00000239819","Immunoglobulin kappa variable 1D-8","A0A087WSZ0","Immunoglobulin genes"
"2619","DEFA3","ENSG00000239839","Defensin alpha 3","P59666","Secreted to blood"
"2620","IGKV1-6","ENSG00000239855","Immunoglobulin kappa variable 1-6","A0A0C4DH72","Immunoglobulin genes"
"2621","IGKV1-37","ENSG00000239862","Immunoglobulin kappa variable 1-37 (non-functional)","A0A075B6S9","Immunoglobulin genes"
"2622","IGKV3-20","ENSG00000239951","Immunoglobulin kappa variable 3-20","P01619","Immunoglobulin genes"
"2623","IGKV1D-33","ENSG00000239975","Immunoglobulin kappa variable 1D-33","P01593","Immunoglobulin genes"
"2624","LILRA2","ENSG00000239998","Leukocyte immunoglobulin like receptor A2","Q8N149","Secreted to blood"
"2625","AMY2B","ENSG00000240038","Amylase alpha 2B","P19961","Secreted to digestive system"
"2626","LY6G5B","ENSG00000240053","Lymphocyte antigen 6 family member G5B","Q8NDX9","Secreted to blood"
"2627","DEFA1B","ENSG00000240247","Defensin alpha 1B","P59665","Secreted to blood"
"2628","IGKV1-17","ENSG00000240382","Immunoglobulin kappa variable 1-17","P01599","Immunoglobulin genes"
"2629","C1QTNF9","ENSG00000240654","C1q and TNF related 9","P0C862","Secreted to blood"
"2630","IGKV1-8","ENSG00000240671","Immunoglobulin kappa variable 1-8","A0A0C4DH67","Immunoglobulin genes"
"2631","IGKV1-16","ENSG00000240864","Immunoglobulin kappa variable 1-16","P04430","Immunoglobulin genes"
"2632","MIF","ENSG00000240972","Macrophage migration inhibitory factor","P14174","Secreted to blood"
"2633","TDGF1","ENSG00000241186","Teratocarcinoma-derived growth factor 1","P13385","Secreted in other tissues"
"2634","IGKV1D-16","ENSG00000241244","Immunoglobulin kappa variable 1D-16","P01601","Immunoglobulin genes"
"2635","IGKV2-24","ENSG00000241294","Immunoglobulin kappa variable 2-24","A0A0C4DH68","Immunoglobulin genes"
"2636","IGKV3-11","ENSG00000241351","Immunoglobulin kappa variable 3-11","P04433","Immunoglobulin genes"
"2637","EGFL8","ENSG00000241404","EGF like domain multiple 8","Q99944","Secreted - unknown location"
"2638","CORT","ENSG00000241563","Cortistatin","O00230","Secreted in brain"
"2639","IGKV2D-24","ENSG00000241566","Immunoglobulin kappa variable 2D-24 (non-functional)","A0A075B6R9","Immunoglobulin genes"
"2640","IGKV1-9","ENSG00000241755","Immunoglobulin kappa variable 1-9","A0A0C4DH69","Immunoglobulin genes"
"2641","SPRR2A","ENSG00000241794","Small proline rich protein 2A","P35326","Secreted to digestive system"
"2642","IGKV1-33","ENSG00000242076","Immunoglobulin kappa variable 1-33","P01594","Immunoglobulin genes"
"2643","PSG2","ENSG00000242221","Pregnancy specific beta-1-glycoprotein 2","P11465","Secreted in female reproductive system"
"2644","BGLAP","ENSG00000242252","Bone gamma-carboxyglutamate protein","P02818","Secreted to blood"
"2645","IGKV1-39","ENSG00000242371","Immunoglobulin kappa variable 1-39","P01597","Immunoglobulin genes"
"2646","UGT1A10","ENSG00000242515","UDP glucuronosyltransferase family 1 member A10","Q9HAW8","Intracellular and membrane"
"2647","IGKV2D-28","ENSG00000242534","Immunoglobulin kappa variable 2D-28","P01615","Immunoglobulin genes"
"2648","IGKV1D-43","ENSG00000242580","Immunoglobulin kappa variable 1D-43","A0A0B4J1Z2","Immunoglobulin genes"
"2649","IGKV1D-17","ENSG00000242766","Immunoglobulin kappa variable 1D-17","A0A075B6S4","Immunoglobulin genes"
"2650","IGKV3-7","ENSG00000243063","Immunoglobulin kappa variable 3-7 (non-functional)","A0A075B6H7","Immunoglobulin genes"
"2651","PSG11","ENSG00000243130","Pregnancy specific beta-1-glycoprotein 11","Q9UQ72","Secreted in female reproductive system"
"2652","PSG4","ENSG00000243137","Pregnancy specific beta-1-glycoprotein 4","Q00888","Secreted in female reproductive system"
"2653","IGKV2-30","ENSG00000243238","Immunoglobulin kappa variable 2-30","P06310","Immunoglobulin genes"
"2654","IGKV2D-29","ENSG00000243264","Immunoglobulin kappa variable 2D-29","A0A075B6S2","Immunoglobulin genes"
"2655","IGKV1-12","ENSG00000243290","Immunoglobulin kappa variable 1-12","A0A0C4DH73","Immunoglobulin genes"
"2656","STMP1","ENSG00000243317","Short transmembrane mitochondrial protein 1","E0CX11","Intracellular and membrane"
"2657","EFNA4","ENSG00000243364","Ephrin A4","P52798","Secreted to blood"
"2658","C4orf48","ENSG00000243449","Chromosome 4 open reading frame 48","Q5BLP8","Secreted to blood"
"2659","IGKV1-5","ENSG00000243466","Immunoglobulin kappa variable 1-5","P01602","Immunoglobulin genes"
"2660","AMY2A","ENSG00000243480","Amylase alpha 2A","P04746","Secreted to digestive system"
"2661","TNFRSF6B","ENSG00000243509","TNF receptor superfamily member 6b","O95407","Secreted to blood"
"2662","WFDC6","ENSG00000243543","WAP four-disulfide core domain 6","Q9BQY6","Secreted in male reproductive system"
"2663","CFB","ENSG00000243649","Complement factor B","P00751","Secreted to blood"
"2664","LEFTY1","ENSG00000243709","Left-right determination factor 1","O75610","Secreted in other tissues"
"2665","IGKV2-28","ENSG00000244116","Immunoglobulin kappa variable 2-28","A0A075B6P5","Immunoglobulin genes"
"2666","LY6G6D","ENSG00000244355","Lymphocyte antigen 6 family member G6D","O95868","Intracellular and membrane"
"2667","CFHR1","ENSG00000244414","Complement factor H related 1","Q03591","Secreted to blood"
"2668","IGKV3-15","ENSG00000244437","Immunoglobulin kappa variable 3-15","P01624","Immunoglobulin genes"
"2669","IGKV1-27","ENSG00000244575","Immunoglobulin kappa variable 1-27","A0A075B6S5","Immunoglobulin genes"
"2670","C4A","ENSG00000244731","Complement C4A (Rodgers blood group)","P0C0L4","Secreted to blood"
"2671","PGAM5","ENSG00000247077","PGAM family member 5, mitochondrial serine/threonine protein phosphatase","Q96HS1","Intracellular and membrane"
"2672","SPTY2D1OS","ENSG00000247595","SPTY2D1 opposite strand","A0A0U1RRN3","Intracellular and membrane"
"2673","INSL3","ENSG00000248099","Insulin like 3","P51460","Secreted to blood"
